[DEBUG] Free space available from bank 80 to FF
[DEBUG]   Bank |  Config |   Fixed | Movable |  Buffer |    Free
[DEBUG]     DB |   32768 |       0 |   32764 |       4 |       0
[DEBUG]     DC |   32768 |       0 |   32762 |       6 |       0
[DEBUG]     DD |   32768 |       0 |   32766 |       2 |       0
[DEBUG]     DE |   32764 |       0 |   28316 |       4 |    4444
[DEBUG]     DF |   21760 |       0 |   21756 |       4 |       0
[DEBUG]   Bank |  Config |   Fixed | Movable |  Buffer |    Free
[DEBUG]     E0 |       0 |       0 |       0 |       0 |       0
[DEBUG]     E1 |       0 |       0 |       0 |       0 |       0
[DEBUG]     E2 |   20480 |       0 |    6194 |       0 |   14286
[DEBUG]     E3 |   32768 |       0 |   32766 |       2 |       0
[DEBUG]     E4 |   32768 |       0 |   32766 |       2 |       0
[DEBUG]     E5 |   32768 |       0 |   32766 |       2 |       0
[DEBUG]     E6 |   32768 |       0 |   32768 |       0 |       0
[DEBUG]     E7 |   32768 |       0 |   32768 |       0 |       0
[DEBUG]     E8 |   32768 |       0 |   32768 |       0 |       0
[DEBUG]     E9 |   32768 |       0 |   32768 |       0 |       0
[DEBUG]     EA |   32768 |       0 |   32768 |       0 |       0
[DEBUG]     EB |   32768 |       0 |   32768 |       0 |       0
[DEBUG]     EC |   32768 |       0 |   32768 |       0 |       0
[DEBUG]     ED |   32768 |       0 |   32768 |       0 |       0
[DEBUG]     EE |   32768 |       0 |   32768 |       0 |       0
[DEBUG]     EF |   32768 |       0 |   32768 |       0 |       0
[DEBUG]   Bank |  Config |   Fixed | Movable |  Buffer |    Free
[DEBUG]     F0 |   32768 |       0 |   32768 |       0 |       0
[DEBUG]     F1 |   32768 |       0 |   32768 |       0 |       0
[DEBUG]     F2 |   32768 |       0 |   32768 |       0 |       0
[DEBUG]     F3 |   32768 |       0 |   32768 |       0 |       0
[DEBUG]     F4 |   32768 |       0 |   32766 |       2 |       0
[DEBUG]     F5 |   32768 |       0 |   32768 |       0 |       0
[DEBUG]     F6 |   32768 |       0 |   32768 |       0 |       0
[DEBUG]     F7 |   32768 |       0 |   32768 |       0 |       0
[DEBUG]     F8 |   32768 |       0 |   32768 |       0 |       0
[DEBUG]     F9 |   32768 |       0 |   32768 |       0 |       0
[DEBUG]     FA |   32768 |       0 |   32768 |       0 |       0
[DEBUG]     FB |   32768 |       0 |   32768 |       0 |       0
[DEBUG]     FC |   32768 |       0 |   32768 |       0 |       0
[DEBUG]     FD |   32768 |       0 |   32768 |       0 |       0
[DEBUG]     FE |   32768 |       0 |   29537 |       0 |    3231
[DEBUG]     FF |   32768 |       0 |   32763 |       0 |       5
[DEBUG]   Bank |  Config |   Fixed | Movable |  Buffer |    Free
[DEBUG] ------ | ------- | ------- | ------- | ------- | -------
[DEBUG]  Total | 2761076 |  203231 | 2339562 |    1252 |  263289
[DEBUG]        | 100.00% |   7.36% |  84.73% |   0.05% |   9.54%
